subject,start_sec,end_sec,window_sec,step_sec,resp_mean,resp_std,resp_range,resp_median,resp_iqr,resp_skew,resp_kurtosis,resp_derivative_std,resp_derivative_max_abs,resp_second_derivative_std,resp_peak_rate_per_min,resp_trough_rate_per_min,resp_peak_prominence_std,resp_trough_prominence_std,resp_breath_rate_mean,resp_breath_rate_std,resp_breath_rate_range,resp_interval_rmssd,resp_interval_sdnn,resp_interval_cv,resp_cycle_amplitude_mean,resp_cycle_amplitude_std,resp_dominant_rate_bpm,resp_mean_frequency_hz,resp_bandpower_0_15_0_40,resp_bandpower_0_40_0_75,resp_bandpower_0_75_2_00,resp_relative_power_0_75_2_00,original_label,label,label_purity
S2,300,360,60,30,-0.0016006528432749184,2.8220895727882556,14.953052896164433,0.03884232412148003,3.888198439210802,-0.3014520616166348,-0.062156253423854224,5.971650860877197,17.617150808202474,18.36652564666388,21.0,20.0,1.1094041997061626,1.0869774291568164,23.081929918179185,7.909041541801555,26.766536238476633,1.222632041329483,0.9609461191334042,0.32997095160451445,6.877854601772938,2.71142250499385,20.5078125,0.32829484376351176,2.8611195459517402,0.766019001784942,0.05858791566246429,0.009776769743690203,1,0,0.8908809523809523
S2,330,390,60,30,0.06256099036833165,2.3607308590700553,14.739932148360918,-0.16224186007182476,3.358757894812695,-0.13870433638604546,0.7023217722957296,5.188804422779667,17.604873025024382,14.913276341751361,21.0,21.0,0.8474263438152466,0.996245296646208,21.52786618985269,3.0733225946343548,9.771275035310254,0.5539842991024088,0.42674297454853377,0.14986583829623665,5.610533014177219,2.2321836086568476,20.5078125,0.33335516171102625,2.14166208146735,0.4821995979807583,0.03744011548944152,0.008212791993999265,1,0,1.0
S2,360,420,60,30,0.03397332197259091,1.6265098687162833,6.3594558370585546,-0.22331089671075485,2.920249794689459,0.3216151262228838,-1.1636128517439426,3.8347337129354733,8.658470702183052,10.634225404505413,22.0,21.0,0.5035396259665266,0.5141814525460096,22.318396104292155,3.3887373598152624,14.783159780828065,0.37972613654515563,0.38340189162924354,0.1396503247670816,4.425059992870019,0.6924701963215366,20.5078125,0.37962411237426147,0.8769423355996742,0.3815843376817165,0.011353730134147462,0.004776572713145767,1,0,1.0
S2,390,450,60,30,-0.0417031533182355,1.5151760723391166,6.435998711175237,-0.2494028196918658,2.6678988710673535,0.2486645799078555,-1.0910953234645924,3.633772531380002,8.032883205394981,10.206924632740163,22.0,22.0,0.5553550298040978,0.4935327960704028,22.42599360618087,2.978100367185331,12.792994603400874,0.29200031450919595,0.3537044329091671,0.12995713873790285,4.155013812810751,0.6841620927787885,20.5078125,0.38020660386172606,0.7200860503945503,0.31741747296196055,0.009056844823707522,0.004621813516620013,1,0,1.0
S2,420,480,60,30,0.061725100304831595,1.9067226358932323,11.525837568594714,-0.10360207552268812,3.113199306416137,-0.052142293456132846,0.1318674503245303,4.66918885972621,15.358113526424289,13.258377757968157,24.0,23.0,0.5087371623739467,0.850047131422617,24.035315541966447,2.722889306015099,9.930807353104168,0.2960990971358666,0.2667760214547774,0.10559802196543039,4.882421272422555,1.6542658019836411,20.5078125,0.40788219041042006,0.8217820100108956,0.5817204591340964,0.013737476372923845,0.00506310891610719,1,0,1.0
S2,450,510,60,30,0.016386836274270507,1.9109266536991785,11.56255127685882,-0.19183150807680924,2.923941201253106,-0.03942145854415828,0.2994103644989603,4.608271709105187,15.29190328521224,13.093103290714332,23.0,24.0,0.7055396958043192,1.0157647657354152,23.99526170645039,2.6871035455439216,11.66354678789624,0.46391392754168587,0.2873991056178397,0.11349162076298097,4.848552198702582,1.7809495951666403,20.5078125,0.38662586743139493,1.1414915501357767,0.6121374889060509,0.018583685949267754,0.005639699312380662,1,0,1.0
S2,480,540,60,30,0.033584967517415756,1.5536116397293624,7.330590454872927,-0.14832124276176262,2.7213788812969346,0.3458860979621241,-0.8665693394514986,3.679428830358404,11.823176559523297,10.308622771249718,23.0,23.0,0.6109111937129321,0.6771072263523873,23.170618404427483,2.498877440744927,10.364879122057932,0.4718136955041746,0.3007193896147506,0.11470731924967577,4.124019942748084,0.7746283419478064,20.5078125,0.3830182541531879,0.7264732939592794,0.3535614458352301,0.008194717199219423,0.00402206836614544,1,0,1.0
S2,510,570,60,30,-0.039742924921262,1.4355241752756143,5.59638979880156,-0.23192233416101182,2.6555667907489973,0.20594981365577172,-1.2879160699990926,3.404693593475916,8.001272741009934,9.141226469400205,22.0,22.0,0.43405495478621814,0.3771950049027724,22.470079420202882,2.1649993805663237,10.425785661729108,0.3374512814421346,0.2585413505979157,0.09593976507773416,3.9342898559805817,0.5566088460304457,20.5078125,0.38003466660006263,0.6819271973076917,0.27782298974904956,0.008557404502633904,0.004668180843940174,1,0,1.0
S2,540,600,60,30,0.021434554103185583,1.4437604041289829,6.11383358060009,-0.20132911005426962,2.6772333994351873,0.19665438685065578,-1.2301239797213113,3.4515553536999373,10.039493600128479,9.421962099213854,22.0,21.0,0.5168769670876227,0.49975918650394036,22.162367683344115,2.2809611178069606,12.510538385132588,0.4883288871660332,0.27663659891243064,0.10114306332419863,3.9574063459570716,0.6214949361196331,20.5078125,0.3802781117764769,0.7189513414172631,0.29909475941171176,0.007464653333007476,0.0038552064455947264,1,0,1.0
S2,570,630,60,30,0.027725592899199698,1.5003742418206751,6.017437488114928,-0.22876985286342602,2.647608145254095,0.25735218280736116,-1.197699514397257,3.6525402731034897,10.027351068309715,10.212117686188837,22.0,22.0,0.46392220192910355,0.5655440746982177,23.174522980212345,2.719527372214766,12.517531556802247,0.483302415149972,0.31677624385579634,0.12065321374997295,4.117802496378997,0.529309196098991,20.5078125,0.39560385875795123,0.6983580176313727,0.3711493182751071,0.009722170165082984,0.004701673558211799,1,0,1.0
