subject,start_sec,end_sec,window_sec,step_sec,ecg_mean,ecg_std,ecg_min,ecg_max,ecg_range,ecg_median,ecg_iqr,ecg_rms,ecg_energy,ecg_skew,ecg_kurtosis,ecg_derivative_mean,ecg_derivative_std,ecg_derivative_max_abs,ecg_r_peak_count,ecg_valid_rr_count,ecg_r_peak_rate_per_min,ecg_r_peak_prominence_mean,ecg_r_peak_prominence_std,ecg_rr_mean,ecg_rr_std,ecg_rr_min,ecg_rr_max,ecg_hr_mean,ecg_hr_std,ecg_hr_min,ecg_hr_max,ecg_hr_range,ecg_rmssd,ecg_sdnn,ecg_nn50_count,ecg_pnn50,ecg_cvnn,original_label,label,label_purity
S2,300,360,60,30,-1.1186669090429816e-05,0.1332017955590823,-0.3633056666611428,0.7798446705307358,1.1431503371918785,0.016117416973208953,0.1459229458828659,0.1332017960288266,745.1941755428151,1.2288213356846378,4.3180601543325565,0.0003981655589694386,6.535593447651418,46.958801029549285,96,95,96.0,4.680566751614287,1.9750880410060117,0.6259398496240601,0.17384182543399743,0.30142857142857143,1.1085714285714285,104.8778560898571,34.279497465054384,54.123711340206185,199.05213270142178,144.9284213612156,0.19399019855181557,0.17384182543399743,61,0.648936170212766,0.27772928267533525,1,0,0.8908809523809523
S2,330,390,60,30,9.461809975587151e-05,0.14709508549870987,-0.3633043906237903,0.7685520436176598,1.13185643424145,0.027342832211567202,0.1609310584470797,0.14709511592999125,908.7528714792179,1.0020060691368962,3.68508147195371,-0.0010111429172981123,7.0097321588134704,45.30886543274287,96,95,96.0,4.443791056469839,2.114487938079479,0.6220451127819548,0.19198154366980769,0.3171428571428571,1.1085714285714285,106.64437277972556,34.286415665472305,54.123711340206185,189.1891891891892,135.065477848983,0.2431958124910875,0.19198154366980769,79,0.8404255319148937,0.3086296149988447,1,0,1.0
S2,360,420,60,30,-0.00035579720279226007,0.15252547849383274,-0.2950132943332519,0.7940029871914995,1.0890162815247515,0.03194103398554966,0.16478000327666456,0.15252589347852433,977.0942236197302,0.9805488583985256,3.8569415162222427,0.000167570296163923,7.06110713373999,47.40761336533006,97,96,97.0,4.320579593744396,2.3334969941317145,0.617827380952381,0.19987059793013606,0.37142857142857144,1.02,107.94409965736133,34.41903112453261,58.8235294117647,161.53846153846152,102.71493212669682,0.25766621761350117,0.19987059793013606,83,0.8736842105263158,0.3235055682090935,1,0,1.0
S2,390,450,60,30,0.00024839330641608843,0.18107660972153436,-1.4888946286649927,1.452789956358211,2.9416845850232036,0.03215805841782845,0.16503845080266705,0.18107678008921946,1377.1296120741408,-0.08494707090390018,14.821018246832956,0.0012825357363967105,7.427760608246419,136.65870046105204,74,73,74.0,4.748897300261365,1.133066721382201,0.8118786692759296,0.13939801819332834,0.3028571428571429,0.9542857142857143,77.98581748845028,25.188698813721377,62.874251497005986,198.1132075471698,135.2389560501638,0.1519212746660096,0.13939801819332834,30,0.4166666666666667,0.17169809168363773,1,0,1.0
S2,420,480,60,30,0.00013437695918272277,0.18015612586518037,-1.4888451696597436,1.4528531339705448,2.9416983036302886,0.03362570458705983,0.1861837301225606,0.18015617598050274,1363.1624052445507,-0.12458826358973268,14.834733709401569,-0.0008631699495226585,7.372272205593181,136.65878575326155,83,82,83.0,4.313532435798066,1.6154229273653096,0.7205226480836237,0.18963924151164255,0.33,0.9614285714285714,92.1077077011952,34.64765964759387,62.40713224368499,181.8181818181818,119.41104957449681,0.23444643259304662,0.18963924151164255,61,0.7530864197530864,0.2631967808590426,1,0,1.0
S2,450,510,60,30,-2.581971987153348e-05,0.14843365886959556,-0.3886136845753814,0.7385242433530371,1.1271379279284186,0.03169005832348007,0.1803081497129533,0.14843366111523829,925.3671735870828,0.9286888301728158,3.2468205674716435,-0.0007299581084204413,6.746050140742315,44.73977098720105,88,87,88.0,4.748978139015889,1.7983437458413325,0.6791297208538588,0.20439877178838775,0.3028571428571429,1.03,100.04498044670929,40.05661187205465,58.252427184466015,198.1132075471698,139.8607803627038,0.24227534375724458,0.20439877178838775,56,0.6511627906976745,0.3009716192826909,1,0,1.0
S2,480,540,60,30,2.169026225218459e-05,0.14498618759732051,-0.3886066534839761,0.7104440913923522,1.0990507448763283,0.030353798038427363,0.17209826820055657,0.1449861892197767,882.8817927078617,1.0006688997229882,3.599431505900397,-0.004007810184873796,6.471149206890548,44.74137549107105,84,83,84.0,4.942693817043996,1.7204225860681732,0.7180378657487091,0.19253319012931436,0.3028571428571429,0.9942857142857143,93.17237492508256,36.72431914811487,60.3448275862069,198.1132075471698,137.7683799609629,0.21149524563175937,0.19253319012931436,45,0.5487804878048781,0.26813793438115835,1,0,1.0
S2,510,570,60,30,2.3967054408172188e-05,0.14390379089531916,-0.2647160240621074,0.717069294814739,0.9817853188768464,0.0313148659113192,0.1761967059540477,0.14390379289116542,869.7486675554642,1.002522745956677,3.6079218136721716,-0.0003997705295854969,6.487444561313677,42.16834975794484,91,90,91.0,4.613917004017962,2.0513209471246543,0.6613174603174604,0.20788288476151656,0.3314285714285714,0.9957142857142857,102.26978064065891,37.398030780203776,60.25824964131994,181.0344827586207,120.77623311730076,0.23874951302607994,0.20788288476151656,64,0.7191011235955056,0.3143465842588278,1,0,1.0
S2,540,600,60,30,0.0007834847504172978,0.14363838694288092,-0.27353203195486864,0.9641752543224712,1.23770728627734,0.031426269618725314,0.16744534152085447,0.14364052371077918,866.5692021800905,1.0074338041962045,3.784247113560732,-0.006752786079992961,6.463050778405317,42.180003809720425,88,87,88.0,4.676027653890926,1.9304799540013227,0.6811822660098523,0.20441883738758163,0.33285714285714285,1.0171428571428571,98.5935152975875,35.8827320665606,58.98876404494382,180.25751072961373,121.2687466846699,0.23270101567413923,0.20441883738758163,60,0.6976744186046512,0.3000941856355154,1,0,1.0
S2,570,630,60,30,-8.176237715977288e-05,0.14101664687044776,-0.27267389909442175,0.7194112398612437,0.9920851389556654,0.029627009413254433,0.1624960011358008,0.14101667057362716,835.1994579461771,1.002592136109027,3.705308023397686,-0.0007517665700704109,6.337823939915366,41.75259849078781,81,80,81.0,4.988058168998054,1.7191810762679018,0.7398392857142857,0.19873490107581065,0.33285714285714285,1.0657142857142856,89.52291509518226,32.490559230313124,56.30026809651475,180.25751072961373,123.95724263309899,0.2157323082659613,0.19873490107581065,58,0.7341772151898734,0.26861901620152534,1,0,1.0
