subject,start_sec,end_sec,window_sec,step_sec,eda_mean,eda_std,eda_min,eda_max,eda_range,eda_median,eda_iqr,eda_rms,eda_energy,eda_skew,eda_kurtosis,eda_slope,eda_derivative_mean,eda_derivative_std,eda_derivative_max,eda_tonic_mean,eda_tonic_std,eda_tonic_slope,eda_phasic_mean,eda_phasic_std,eda_phasic_max,eda_phasic_auc,eda_scr_count,eda_scr_rate_per_min,eda_scr_amplitude_mean,eda_scr_amplitude_std,eda_scr_amplitude_max,eda_scr_prominence_mean,original_label,label,label_purity
S2,300,360,60,30,1.3197616916666666,0.16483584241399055,0.874303,1.693073,0.81877,1.2849694999999999,0.25882925,1.3300157058227513,424.546026656446,0.25587227064097606,-0.722908462291957,-0.0064832082212438686,-0.002830573429909824,0.1559980038286797,0.9344908246391137,1.3201169269061093,0.14721475320498134,-0.006516028867484986,0.020503636898903593,0.04169371570293135,0.25307055891686137,1.2302182139342155,13,13.0,0.0832985018606103,0.05985606903370901,0.20904758946302238,0.0832985018606103,1,0,0.8908809523809523
S2,330,390,60,30,1.1124327749999998,0.14084270804648014,0.83192,1.436807,0.604887,1.122881,0.20052800000000004,1.1213132244400164,301.762403352976,-0.15633677549366234,-0.596048270540114,-0.006518709216366077,-0.0067780903874866275,0.10803575518816926,0.49422232685478296,1.1131736800514034,0.13040560573999457,-0.006548756868177276,0.012890554160347392,0.0333317718402572,0.20904758965292025,0.7734332496208435,10,10.0,0.0720386547694901,0.05793351572999954,0.20904758965292025,0.0720386547694901,1,0,1.0
S2,360,420,60,30,0.8888389958333333,0.1520557148490452,0.679441,1.19848,0.519039,0.84217,0.24707599999999974,0.9017514629498875,195.157368223743,0.49603009406848286,-1.023261915534658,-0.008576576919061904,-0.008472389792784274,0.018420319097391006,0.1057959749852797,0.8888709374315038,0.15168058152913502,-0.008576785850484336,0.0025494982070102543,0.006253286894369258,0.04714050853745855,0.15296989242061526,5,5.0,0.02449419069360459,0.01268046788688376,0.04714050853745855,0.02449419069360459,1,0,1.0
S2,390,450,60,30,0.7013574958333333,0.07683822302522997,0.570528,0.843452,0.27292399999999994,0.695458,0.12492975000000006,0.7055540018165011,119.473547875027,0.13074207740566285,-1.0092443254150303,-0.004389338578022909,-0.004503414418949488,0.011328075761481033,0.04641382971189678,0.7013075695925017,0.07651003423192779,-0.0043844163955491285,0.0015837189422438266,0.003923685494493065,0.026818483041282093,0.0950231365346296,2,2.0,0.024045590469336853,0.00277289257194524,0.026818483041282093,0.024045590469336853,1,0,1.0
S2,420,480,60,30,0.5811205666666666,0.06898680719918282,0.474428,0.720444,0.24601599999999996,0.5698875,0.112757,0.5852010702062369,82.190470216926,0.2927262584689745,-1.103897198831316,-0.0038519011578908345,-0.002401815105094899,0.020245252097566342,0.12144613054559272,0.5811191907104418,0.06845563223676396,-0.003852759494650623,0.0020044658464565476,0.005319646833192889,0.041252820422046144,0.12026795078739286,3,3.0,0.024191373937620757,0.012670560786365907,0.041252820422046144,0.024191373937620757,1,0,1.0
S2,450,510,60,30,0.5134395583333333,0.023343105147914604,0.474428,0.569247,0.09481899999999993,0.5045394999999999,0.032354250000000084,0.5139699219015399,63.399619348674,0.7234738527476814,-0.6244246029957341,-0.0007216169467576294,-0.0012223598048710798,0.028840434357285637,0.1378790201830431,0.5134442253279584,0.019687135459815215,-0.0007225970010661472,0.003318578111924238,0.007475157265259888,0.039519958362394414,0.1991146867154543,7,7.0,0.02921377823433518,0.008853078063413787,0.039519958362394414,0.02921377823433518,1,0,1.0
S2,480,540,60,30,0.5053095541666667,0.01522074683686927,0.468022,0.567966,0.09994399999999998,0.501336,0.016658000000000006,0.5055387390362756,61.336659999933,0.445531210183479,0.851646223414944,7.856978879702119e-05,-0.0012449963972035343,0.02524613694253958,0.1412548232235049,0.505465760559045,0.010636099591751894,6.739587850339476e-05,0.0026868238511687007,0.006627340190596556,0.042603385676011074,0.16120943107012203,5,5.0,0.02759964538214794,0.007489290090862513,0.03443141895981816,0.02759964538214794,1,0,1.0
S2,510,570,60,30,0.4807802458333334,0.031864951038621296,0.420543,0.539707,0.11916400000000005,0.48464450000000003,0.050612749999999984,0.4818350546486362,55.719604773181004,-0.24786456070566962,-0.9516214866435617,-0.0015293353820498914,-0.001244969197998909,0.012355380545730085,0.1412548232235009,0.48074394253534203,0.031150683228539793,-0.0015247557973541727,0.0012185816734739383,0.003814212977759596,0.03247428072498448,0.0731149004084363,1,1.0,0.03247428072498448,0.0,0.03247428072498448,0.03247428072498448,1,0,1.0
S2,540,600,60,30,0.423260925,0.037718191607446425,0.368009,0.493579,0.12557000000000001,0.420543,0.06470675000000004,0.42493819857714804,43.337393426398,0.20311974650573258,-1.1757908163582178,-0.0021646565290919756,-0.002080148958848236,0.0026212178480954466,0.017652288950305017,0.42322586406003393,0.037726626122958254,-0.002167250021045281,0.00046252989947520655,0.0009300016933017005,0.0067633678033363065,0.027751793968512392,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0
S2,570,630,60,30,0.3761667541666667,0.02143204691096333,0.337257,0.420543,0.08328600000000003,0.373775,0.029791250000000047,0.3767768033930422,34.070582298019,0.1861675153700258,-0.8687909563615466,-0.0011278240288607677,-0.0013724669102167645,0.008817574880741254,0.02372030675310377,0.37618161655558446,0.020904582935857667,-0.0011251235099847805,0.0012133071330914901,0.0024397559600729773,0.01593500799078229,0.07279842798548941,1,1.0,0.01593500799078229,0.0,0.01593500799078229,0.01593500799078229,1,0,1.0
