subject,start_sec,end_sec,window_sec,step_sec,bvp_mean,bvp_std,bvp_min,bvp_max,bvp_range,bvp_median,bvp_iqr,bvp_rms,bvp_energy,bvp_skew,bvp_kurtosis,bvp_peak_count,bvp_valid_ibi_count,bvp_peak_prominence_mean,bvp_peak_prominence_std,bvp_ibi_mean,bvp_ibi_std,bvp_ibi_min,bvp_ibi_max,bvp_hr_mean,bvp_hr_std,bvp_hr_min,bvp_hr_max,bvp_rmssd,bvp_sdnn,original_label,label,label_purity
S2,300,360,60,30,0.06803645833333387,123.64350441831718,-471.89,597.16,1069.05,0.705,105.42250000000001,123.64352313729209,58704847.925,0.291301175277244,2.50473185255313,88,83,2.134505395284066,1.7841484377958297,0.6671686746987951,0.21894804583450753,0.34375,1.3125,99.89103694720409,32.38823000870792,45.714285714285715,174.54545454545453,0.2930240039358925,0.21894804583450753,1,0,0.8908809523809523
S2,330,390,60,30,-0.020908854166666244,98.1211438779572,-392.28,554.77,947.05,3.175,59.915000000000006,98.12114610571443,36970595.7623,0.3304076062216012,4.148434821666043,84,81,2.030929675106552,2.033863004399073,0.6961805555555556,0.21409847235372215,0.34375,1.25,95.53379897080016,32.037353170822755,48.0,174.54545454545453,0.2574867734012031,0.21409847235372215,1,0,1.0
S2,360,420,60,30,0.17571875000000006,44.970133207868074,-345.19,209.89,555.0799999999999,4.455,36.565,44.9704765130691,7765800.029999999,-1.2504594619314446,11.41104299038979,80,78,2.0258751420389447,2.0250834181900026,0.7524038461538461,0.20157937781958296,0.34375,1.484375,86.33619487851692,26.259401304128318,40.421052631578945,174.54545454545453,0.2325483471586796,0.20157937781958296,1,0,1.0
S2,390,450,60,30,-0.2819270833333332,40.34778820268652,-289.26,194.12,483.38,3.725,33.84,40.34877316262747,6251610.2236,-0.6614757146657569,8.938312935584195,79,76,2.0745102138858753,1.9129503099622036,0.7732319078947368,0.20222938657878334,0.390625,1.484375,83.6815416591113,24.772389461618356,40.421052631578945,153.6,0.2195965761345108,0.20222938657878334,1,0,1.0
S2,420,480,60,30,-0.9174947916666666,73.25475518286177,-400.17,363.29,763.46,3.1550000000000002,38.89,73.26050063706738,20609667.6618,-0.8356961279644185,8.361382585674246,80,79,1.806851987554881,2.063162752572807,0.7531645569620253,0.20968119123044007,0.34375,1.484375,87.82449790756164,31.75404174131423,40.421052631578945,174.54545454545453,0.22766847101060722,0.20968119123044007,1,0,1.0
S2,450,510,60,30,-0.00932031250000011,92.3729390496949,-670.2,363.29,1033.49,1.92,54.894999999999996,92.37293951989876,32765798.229300003,-0.9073929480516474,7.27700843187278,79,77,1.8751354447942168,1.8821750161888133,0.7469561688311688,0.2329031022094032,0.34375,1.453125,89.62534298625307,31.833869839757764,41.29032258064516,174.54545454545453,0.3182095602252547,0.2329031022094032,1,0,1.0
S2,480,540,60,30,0.9167890624999998,67.50657990288555,-670.2,303.72,973.9200000000001,2.085,41.864999999999995,67.51280495113348,17502638.716300003,-1.2417932324112404,18.182266833812537,74,72,1.7912548178332128,1.7571468989567025,0.7953559027777778,0.21822481167066884,0.34375,1.453125,82.10188929520685,26.04523921526985,41.29032258064516,174.54545454545453,0.29393583049227445,0.21822481167066884,1,0,1.0
S2,510,570,60,30,-0.01861197916666665,25.716486981754976,-182.86,139.13,321.99,3.835,27.81,25.716493716845257,2539538.1084999996,-0.4051072877141021,8.322678227416159,74,73,2.2419627317802027,1.645254497492876,0.8039383561643836,0.13149441873684845,0.359375,1.171875,77.63536780826367,19.358313240466572,51.2,166.95652173913044,0.15415258944738272,0.13149441873684845,1,0,1.0
S2,540,600,60,30,-0.1345312500000001,20.520690450155588,-152.01,91.48,243.49,4.015,27.525,20.521131430998956,1617088.6472,-0.69729457925548,6.50868968493786,77,76,2.431818633189267,1.1848390982486592,0.7724095394736842,0.1422000501961049,0.34375,1.03125,81.68340789352635,22.5172099600148,58.18181818181818,174.54545454545453,0.1355087827719419,0.1422000501961049,1,0,1.0
S2,570,630,60,30,0.14408072916666612,69.56133930177756,-596.97,368.75,965.72,3.8899999999999997,38.715,69.56148851709213,18580994.6293,-0.9438075908449465,13.976750230189626,78,77,1.6359772593950215,1.8935621940816059,0.7672483766233766,0.22473526226680782,0.34375,1.453125,86.02321406474,29.26534518748083,41.29032258064516,174.54545454545453,0.28588896266214875,0.22473526226680782,1,0,1.0
S2,600,660,60,30,-0.12666666666666782,98.0527609819354,-596.97,421.48,1018.45,5.425000000000001,52.9875,98.05284279726418,36919142.3256,-0.435391020956774,5.585820926392175,76,72,1.8416897326446946,1.858911985941456,0.7552083333333334,0.2623108197269669,0.34375,1.4375,90.49272410201677,34.140865708973315,41.73913043478261,174.54545454545453,0.3545343386346755,0.2623108197269669,1,0,1.0
S2,630,690,60,30,0.07414583333333263,89.12425522391935,-449.14,421.48,870.62,6.13,43.71,89.1242860662733,30501651.3286,-0.39316288287276213,5.862077981795581,77,75,1.7151306327967548,1.9935179374528604,0.7535416666666667,0.22016762868828427,0.359375,1.296875,87.4988448465544,28.40492154464136,46.265060240963855,166.95652173913044,0.28757205692190835,0.22016762868828427,1,0,1.0
S2,660,720,60,30,0.5626666666666669,82.33812224489925,-727.64,595.6,1323.24,4.34,32.7225,82.34004474490982,26034750.5994,-0.37831782238866235,21.08196179734506,69,63,1.3799144566286232,1.8224693497969273,0.792906746031746,0.18811836389214986,0.359375,1.28125,81.05667786127117,24.120977289474,46.829268292682926,166.95652173913044,0.2602032055246871,0.18811836389214986,1,0,1.0
S2,690,750,60,30,-0.22684895833333346,77.20485271657219,-727.64,595.6,1323.24,3.3449999999999998,26.09,77.20518598797298,22888860.4548,-0.0938316861211667,27.681564930155826,71,68,1.0937957272994374,1.8244954607933868,0.8051470588235294,0.16014157904995874,0.359375,1.140625,78.7242869829238,22.248446347005576,52.602739726027394,166.95652173913044,0.18638896573699706,0.16014157904995874,1,0,1.0
S2,720,780,60,30,-0.3535312500000003,46.48027579745366,-335.37,351.65,687.02,4.18,23.572499999999998,46.4816202659942,8296477.5265999995,-0.1760167070070536,27.99704641713063,72,71,1.2281165174921713,1.5990057893459413,0.8375880281690141,0.09493379919667547,0.46875,1.140625,72.74191400016949,10.199263229866695,52.602739726027394,128.0,0.15585888549421878,0.09493379919667547,1,0,1.0
S2,750,810,60,30,0.6854609374999999,70.09705464788354,-409.52,402.66,812.1800000000001,4.880000000000001,28.5775,70.10040604023067,18870016.9997,0.13246104959665736,10.181832133310364,74,73,1.4924808758233936,2.0038147076331474,0.8144263698630136,0.17616921523178716,0.34375,1.5,78.01678707447309,22.4818648479946,40.0,174.54545454545453,0.2613914049464158,0.17616921523178716,1,0,1.0
S2,780,840,60,30,0.0017708333333333807,72.22904308654161,-409.52,402.66,812.1800000000001,5.234999999999999,31.7325,72.22904310824929,20033413.126399998,0.0629790612829539,8.991945675752039,74,73,1.5472326692911484,1.9749696288640728,0.7977311643835616,0.2012623769605452,0.34375,1.5,81.3339812831816,26.588191344389323,40.0,174.54545454545453,0.29312206636473237,0.2012623769605452,1,0,1.0
S2,810,870,60,30,-0.7135286458333332,31.376799859093612,-242.2,380.05,622.25,4.62,28.41,31.384911861052622,3782448.7392999995,1.9554911056220685,40.52992369452915,74,73,1.987119774465762,1.8741652520908416,0.809931506849315,0.14508513242628984,0.359375,1.0625,77.82134108647696,21.744798666908817,56.470588235294116,166.95652173913044,0.16081651668883565,0.14508513242628984,1,0,1.0
S2,840,900,60,30,-0.15470572916666664,28.26191981781147,-116.17,380.05,496.22,3.825,30.5,28.262343244165752,3067238.5752999997,4.00236312643703,50.70106815793742,74,73,2.178181630668911,0.7932192920332841,0.8069349315068494,0.14321412791306387,0.359375,1.21875,77.98453847056737,21.31820764171773,49.23076923076923,166.95652173913044,0.15044557302462686,0.14321412791306387,1,0,1.0
S2,870,930,60,30,0.08410677083333332,37.9480988164819,-314.16,225.36,539.52,2.885,37.0025,37.94819202194453,5529850.666499998,-0.3293060525731055,10.76816141760131,78,76,2.274354673598305,1.9647171607808418,0.7715871710526315,0.15317632869536063,0.359375,1.0625,82.18282704703729,22.90202998494355,56.470588235294116,166.95652173913044,0.1693373266835559,0.15317632869536063,1,0,1.0
S2,900,960,60,30,-0.10170312499999994,43.35171797544224,-314.16,225.36,539.52,3.31,38.19,43.35183727303742,7216826.092599999,-0.29001869538584824,6.5187378840558114,76,75,2.225990821642981,1.7252128220972511,0.7785416666666667,0.21891918060985172,0.359375,1.21875,84.92205355026364,29.63600864109318,49.23076923076923,166.95652173913044,0.27964420527807854,0.21891918060985172,1,0,1.0
S2,930,990,60,30,-0.030273437499999882,35.67406710563745,-182.35,204.13,386.48,4.45,34.06,35.67407995083464,4886937.5245,-0.007421321974447744,5.837255576871167,75,74,2.1039559757627337,1.7260530799464922,0.7835726351351351,0.21634907120429583,0.359375,1.34375,83.9131231804141,28.58588702030631,44.651162790697676,166.95652173913044,0.27927507713219196,0.21634907120429583,1,0,1.0
S2,960,1020,60,30,0.26253125000000005,27.38319305190272,-182.35,204.13,386.48,3.88,29.3125,27.384451507653026,2879647.4280000003,0.2699891709130086,13.15871293579561,76,73,2.0226630831265298,1.5682209860966647,0.7988013698630136,0.1685236226830917,0.34375,0.984375,80.70803214734228,27.11157510007903,60.95238095238095,174.54545454545453,0.16270311491311576,0.1685236226830917,1,0,1.0
S2,990,1050,60,30,0.0065859374999999686,22.960102573663203,-230.28,181.44,411.72,2.86,23.47,22.960103518227186,2024318.7977,-0.9147772741950263,26.47897432183318,75,72,2.0855191382402287,1.4206785420496977,0.8025173611111112,0.19979755846538946,0.34375,1.421875,80.93626875602595,26.982438374320328,42.1978021978022,174.54545454545453,0.2786830234384881,0.19979755846538946,1,0,1.0
